	PT0	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT17	PT18	PT19	PT20	PT21	PT22	PT23	PT24	PT25	PT26	PT27	PT28	PT29	PT30	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38	PT39	PT40	PT41	PT42	PT43	PT44	PT45	PT46	PT47	PT48	PT49	PT50	PT51	PT52	PT53	PT54	PT55	PT56	PT57	PT58	PT59	PT60	PT61	PT62	PT63
TAF7	1.0469427	2.5283	2.1246	-0.12143013	0.1338847	1.392502	-0.644	-3.4938	-3.0978	0.8147538	-0.1451	-2.3628	0.6711	3.88655	3.2156854	-1.3385	0.2887	-0.8321	-2.2424	0.11254999	-5.5192	1.41225	0.73195004	4.6038103	-2.165377	0.0578	-1.8468	-5.8311	-2.3874946	-1.59945	-2.4075568	-1.3020741	1.3503	-0.0589	0.5455	-0.1109	2.3827	-1.5954001	1.7694	-1.6953	1.4063	2.2852	1.99225	1.9451	1.6961501	2.00425	-2.1547	-1.4232	0.64479995	0.69235003	-0.42764997	2.436981	0.7044	0.41469997	0.94805	2.05715	1.20075	0.18094665	1.2293586	1.7939067	2.3713	1.4197	2.242	-0.4891
AKR1C1	0.3732774	-0.2106	0.518	4.487132	0.47258535	0.4546028	1.8086	3.4564	-1.37225	-1.0750933	-0.9694	-1.1548	5.39	4.318	1.8743167	2.0974998	-0.20075	2.23	-0.2532	3.214	1.2812	-1.33775	-1.3613	4.5158577	-0.20622575	0.5677	-4.6835	5.1583	0.123528324	-0.57399994	0.59481627	1.4556311	-0.196	-0.962	-1.2412	0.3353	3.0837	-1.1925501	2.6977	0.7045	0.1298	2.3434	-0.72260004	6.5003	1.21155	1.05205	0.8907	3.7167	-3.0045	1.0639	3.45395	2.7410283	-2.2181	-1.13365	-0.9781	-1.6779	-0.33055	-1.3557582	-0.74824464	-1.1964711	2.5975	-0.6781	-0.7064	0.3314
TAF1	3.7182643	4.1698	6.1711	4.030042	0.38960147	3.570204	3.1002	3.9456	3.8305502	1.9088637	-1.2826	2.5259	4.027	3.1852	3.5255911	5.7797003	5.16535	-0.5274	2.6462	2.0583	0.1928	3.16715	3.84275	5.1061816	0.33926886	-1.0565	1.7746	6.5673	5.376907	2.88495	0.17892295	3.237663	-1.11	1.5397	-1.8594	6.3864	2.993	2.21305	3.1838	-1.8631	4.8454	2.9579	7.2268	5.1246	7.1392	7.63395	2.3739	5.3225	2.6949	5.36115	3.8581	3.034176	1.85795	2.1344	2.0472999	1.9879501	2.7919002	3.5588284	2.7531552	3.3899384	10.0	1.4804	2.3706	-0.7176
GPR39	4.522436	1.246	1.588	4.2615643	-2.944458	3.3374636	2.2441	7.0652	2.7837498	3.0559223	-2.4785	1.737	-1.0289	5.38195	4.4517922	6.68955	2.54135	-0.6761	0.3633	1.433	-0.6213	1.03505	1.9335	4.450411	2.124238	-1.4717	0.2808	2.9392	1.1704895	2.8593001	0.8580231	-1.425076	0.0075	-2.732	2.3779	4.5645	6.2619	5.9172497	3.6535	-0.6745	5.2772	3.6147	1.6406001	4.1683	1.9092	1.0773	0.6087	-0.9015	2.0924	2.8101	0.00089997053	3.5704098	2.67065	2.7656	3.0216	1.4479	2.10425	0.25017303	-0.5100131	-0.7094932	-1.8491	1.1342	0.2044	0.472
POU3F1	1.6082526	0.9721	3.5873	5.9748936	0.6659062	0.7289471	0.6724	3.8893	4.7374997	3.964803	-1.5182	4.4506	1.7318	3.87645	5.685815	7.0766497	5.1377	-0.2772	-1.9617	0.114250004	-3.1075	3.6128001	0.7539	4.4400673	-0.6378389	0.3494	2.811	9.1901	6.5279827	0.77855	-1.6980128	1.7384115	0.5772	-0.4314	-0.4399	3.7643	3.1271	4.0538	3.8161	0.803	6.3307	-0.6763	7.1298504	9.4559	3.44735	4.1656	-1.1386	2.9582	3.5656	4.4315	1.57935	0.808857	3.0713	3.145	3.511	1.5617001	2.10845	2.9111009	1.7455121	2.931232	3.1787	0.828	-0.6125	-0.9504
KRIT1	2.5644798	-0.4757	-0.3415	2.150764	0.47244954	-2.4721725	0.1999	7.0778	1.56345	-0.082681134	-0.6177	1.7179	-0.1655	-1.06835	-2.45184	2.56875	0.3867	1.4032	0.652	2.4666	6.503	-0.6263	1.35535	0.94944465	1.26233	-0.5321	3.632	0.926	-0.30978486	1.22945	0.3434536	6.3638625	0.6301	-1.1386	1.3225	5.1093	1.55	4.0445004	1.0174999	1.2895	-0.9582	-1.0264	1.95465	2.8624	-0.09	1.8699499	2.9911	2.8656	3.6092	0.65139997	1.5812501	-0.20350939	-1.38975	-0.096149996	0.013	-0.16094999	0.1444	-1.0086715	-0.34692618	-1.062443	0.5008	1.8197	3.0307	-0.8622
RPS12	-2.1731672	-1.9174	-3.5074	-5.7411942	1.4226406	-2.83819	-4.0241	-1.4625	-1.3722	-0.82088244	2.7193	1.5251	3.9947	-2.07515	-1.8506209	-0.52444994	-5.20745	3.4307	0.8134	-6.9142	0.3558	-0.41625	-0.85625005	-1.9441082	0.50294054	0.6498	-1.3903	-5.722	-0.1974465	-1.69735	0.6485127	3.3131888	0.0856	-1.9446	-2.8881	0.6372	1.064	-1.27275	-2.35925	-0.8228	-1.6985	-2.9295	-2.6123	-2.575	-2.11415	-2.99695	-2.1222	-4.8915	-0.18469998	-0.43834996	-1.1169	-1.7735248	2.05075	2.2866	1.1449	-0.36180001	-0.0052499995	0.80228436	0.07673651	1.26903	-6.9172	-0.3234	-2.0575	1.0164
TMEM14A	1.895951	-2.073	-4.9878	3.1710958	-2.2587476	-0.47399637	0.1982	4.2257	0.346	-2.94429	-0.8281	1.4545	0.2925	3.043	3.404492	1.98115	-0.1261	-0.1296	0.9073	-0.1361	1.7885	3.6172	2.38585	3.940385	2.338984	1.7849	0.032	0.4412	3.2489939	1.2404001	2.4589884	1.3742292	-0.5644	-1.8726	1.0416	-2.0775	5.0397	-1.15525	-0.42405	-1.8794	-3.8111	0.6509	-0.14535001	-5.11	0.69834995	-0.9353	2.7736	2.1948	-1.27125	-0.72190005	0.79950005	0.32767633	-1.39935	-1.34645	-0.79	-0.49460003	-0.7255	-1.9514209	-0.09084344	0.3016761	1.0911	-0.5727	-0.7106	-0.7349
KDM6B	4.543739	3.3202	5.7702	2.2172048	2.890835	4.4008803	4.6795	4.813	4.5011	1.9479574	-1.5964	4.7764	1.6364	2.2549999	1.4928719	4.15945	1.0663	0.1062	3.5862	1.64295	1.5357	3.7134	3.3102	4.61086	0.5862355	0.0	-1.5794	-4.694	1.2991515	2.1636	-1.176035	-0.7604411	-0.7432	-0.6773	3.0367	0.4713	-0.1728	4.6358004	0.49575	3.0688	3.0467	2.7913	3.3211	0.9461	2.07155	1.46945	-0.4244	2.5753	1.9672	5.247	2.20935	-1.0411422	5.9069004	5.1623497	5.7179003	6.1956997	4.2724	2.3161292	1.8379298	2.8520834	4.9073	0.4981	2.6987	0.9129
MRPS12	-3.0848515	-2.8894	-0.1692	-6.0636663	0.27877784	-3.5008638	-3.9485	-5.1247	-2.5795999	-1.8131615	-0.3764	-1.2173	-4.4082	-3.97065	-2.6527119	-2.89085	-7.4521	-1.7151	-10.0	-8.597549	2.9844	-6.42365	-2.38205	-5.8521104	-1.0735426	0.2566	-6.2425	-1.5959	-4.6911	-2.31785	-0.8166275	-0.7087919	-3.6079	-2.4607	-9.7194	0.6745	2.924	-2.02005	-5.1610003	-0.2617	-10.0	1.4133	-2.0731	-2.3056	-3.7021499	-4.39645	-1.0639	-0.3338	-2.25145	-2.44785	-1.02145	-1.0046042	-0.89745	-0.44134998	-0.1613	-1.31135	-0.15185	-3.2625241	-2.8367705	-3.8018465	-10.0	-2.0031	-10.0	-2.4071
ERCC2	2.2220755	2.1734	2.6529	4.858117	-2.2530618	3.4625468	-0.0507	-3.7616	1.56215	-2.3004727	-1.4469	0.7494	6.2316	2.46095	4.1411333	2.90975	0.3874	-0.0259	2.0039	0.61240005	0.4375	2.94105	1.5606999	1.766125	2.740389	1.821	1.6713	3.9723	2.292211	0.64989996	2.4324849	-3.7162375	0.7245	0.2065	-2.3534	3.2425	0.4605	-5.8068	1.7571001	-3.3799	4.4433	4.4633	1.98695	7.5032	2.4182	2.5514002	-0.6636	0.6896	4.3842	1.1575501	2.34915	2.9082394	2.9683	2.2407	1.7149999	1.5271499	0.7552	1.4862428	1.2302821	2.0984838	-7.0548	-1.9306	-3.8107	0.0123
SC5D	-0.4096741	0.8159	0.9984	-1.4142168	0.34846333	2.3428242	2.2	-1.3841	3.0801501	0.10721323	0.6665	-0.1286	0.5581	-1.0445	-2.2707195	4.4126	2.73865	0.1724	0.4791	-0.1537	-2.4202	-0.481	-0.30275	-2.543444	0.50114673	1.8932	-0.899	2.3278	-0.37395167	0.6175	0.8491128	3.8137147	-2.5532	1.2637	2.8797	0.1416	-1.4606	0.06575	0.6218	-2.7406	3.4233	-0.6307	1.4748	5.5334	0.72685	-0.689	-1.155	2.0195	-1.5645	-1.2333	-0.41935	-0.80166805	0.97015	1.27275	-0.19704999	-2.26225	0.98265004	-0.9238778	-0.4020245	-2.2537837	0.0095	1.7998	3.2556	1.32
SLC20A1	-3.8979626	-6.334	-3.7441	-1.9476078	3.3851166	-4.0992274	-1.9667	-4.0217	-0.033299983	1.5937486	0.635	-1.385	4.5399	0.14485	-4.547724	-1.1955	-4.96115	-2.0355	-2.9942	-3.3031	-0.106	0.19645	-6.5345	-0.37274456	-2.32424	1.097	1.8303	-1.749	-0.4333415	-4.7372503	-2.1168125	-2.3342617	-0.9881	-0.3563	1.5724	0.1758	-2.9899	3.45745	-2.7855	1.4303	-2.3176	-0.0699	-3.0417	-7.7433	-2.45825	-2.8055	0.0321	0.9361	-3.6579	-1.8332	-0.90625	-0.44906098	0.23709999	-0.764	0.11385	-1.2232001	-1.2198	-0.6352905	-0.2106042	1.1768872	-4.0097	-2.5161	-0.1536	-0.5241
BATF	-0.9814286	-0.8439	1.1889	-0.32795364	2.1671603	0.23371452	-2.504	4.6602	3.4737499	4.717129	0.4247	0.8464	4.355	1.3591499	2.9188623	6.45695	4.49965	-0.1575	-3.2288	-0.1913	0.3816	-0.011200011	-1.8347	0.7983119	-2.1122491	2.2301	5.362	3.5779	2.6775522	-3.4675498	-2.8144727	2.5485668	-0.6836	1.1328	1.8476	3.9591	0.2878	4.4811	1.26025	-0.0932	2.0407	1.7469	2.3330998	2.2754	1.7730501	1.8889999	0.0834	3.772	0.5788	2.61655	2.5151	0.98607874	0.86565	2.5309	2.75965	1.7011	3.78375	2.9709492	2.1070912	3.2434568	5.6504	1.596	-2.2151	-1.5492
SLC27A3	2.3895593	5.971	5.9927	3.1169372	-0.4031005	3.477487	1.6824	-2.1754	7.7751503	-1.4288929	-1.0522	-1.2014	-2.9265	-0.112399995	-0.8468199	-0.84905	1.46035	0.8308	1.5023	1.8796	3.699	-2.77445	3.29065	0.65745175	0.7065179	-1.0076	0.4859	-10.0	-1.9371507	-0.96505	2.4498801	1.7298751	0.0764	-2.5889	-0.2993	-0.8094	-0.4389	2.3220499	-0.32274997	-0.8116	-2.0367	-0.3175	0.4169	-2.0127	0.4247	-0.22175002	0.2877	-0.0747	-1.9073501	0.4076	-0.66145	-0.4458393	5.3125	4.3516	5.5356503	7.4558496	8.66805	0.7651562	0.5247123	0.15145513	-2.1998	0.2083	0.8583	1.6752
AMPD3	2.6111116	0.4094	-0.9116	0.36010808	2.7729826	0.8301308	-0.0321	8.3884	0.931	-1.0144829	-0.2506	3.4197	3.493	-1.0234001	0.28488654	-1.9686999	3.5965002	-0.8279	3.2195	-0.374	2.7264	3.17745	1.0466	1.1020639	1.7404981	0.0927	-0.0241	-3.5786	3.2795203	3.3842	0.88090956	2.2772353	0.4549	0.6448	-0.5668	3.2183	-0.5789	-2.5263	2.8185	-0.3405	2.893	0.9646	2.09825	6.6584	-0.33634996	0.06879997	0.613	2.4737	2.8611	2.49515	1.16125	0.38866293	3.23865	3.77945	1.7335	3.65745	2.3157	2.6927114	2.6457446	2.1690788	0.44	0.0568	-1.228	-0.9543
TRIM37	-0.8950929	0.4425	-0.424	-1.8822355	-1.6232538	1.194449	-0.4999	-1.9656	-0.65260005	-0.5978086	0.2086	0.3517	-3.6116	-0.4709	-2.2916179	-3.9733	-4.4788	-2.0255	0.7148	-0.83345	0.7905	-2.2259002	1.76245	-1.5857018	-1.995889	-0.4747	-0.4089	0.2496	-1.3519659	-4.6043	-2.4707897	-0.061890636	1.7071	0.0294	-2.3734	-3.1492	0.0186	-8.16675	-5.4973	-4.9981	-9.9498	-0.8811	3.7208	-0.6099	2.4598	0.27534997	-0.4601	-2.4336	0.3346	-2.20875	-2.02865	1.5181609	0.70100003	1.0117	-0.26115	1.7279	1.27765	1.4894379	0.69369626	0.22249985	-3.8982	0.1467	-1.8919	-3.3184
BCKDHB	4.8568583	4.1333	2.6691	1.2906065	-2.0173492	3.979617	4.3226	1.437	0.26465002	0.58104175	-0.9897	0.7231	-1.2995	1.9883499	0.61022717	5.6263	2.2886	0.1358	2.1802	0.47410002	-0.3712	2.0894	5.9455	-0.15175307	4.390844	-2.132	4.8907	3.5395	5.1151123	2.9025998	2.8375049	-0.2699591	-0.3271	-1.6705	0.691	-0.1615	1.2452	7.38505	0.98115003	-2.1806	-0.6961	1.1167	-2.1810498	3.0928	0.66345	-4.0926	-0.3645	0.088	-0.29210007	1.96385	0.84415	1.5864171	0.20275	0.21655	-0.68700004	-1.7925	-0.61255	-1.505856	-1.9065006	-1.3266433	0.4145	-1.0051	0.6644	0.5528
KRAS	-0.71102345	0.3827	-0.3725	2.8697674	-0.51151943	1.8432982	1.7466	-1.9714	-3.80785	1.3069026	-0.8715	1.7647	1.2155	3.89415	4.904042	1.3061	-0.91674995	0.1722	-0.093	0.77245003	-0.439	-1.31235	1.9800999	3.1618428	0.24293227	-2.4065	-3.7838	0.5027	-0.8666784	1.12825	-0.45359114	-0.21824133	-2.895	0.5782	0.7799	-1.2537	1.4651	-1.09095	-0.8533	2.7165	-8.2423	3.3496	-3.19095	1.2807	-2.62015	-2.0807	1.3567	-2.6053	-0.5442	-0.95875	1.6530501	0.19713327	-0.85365	-1.3323	-0.37765	-0.87955	-1.31115	-3.1509185	-2.4213457	-3.0902982	2.3132	0.4416	4.919	1.883
LHX2	2.2049735	2.8225	5.1402	3.6816158	0.53729105	3.3262274	4.6412	1.3502	1.50945	3.0818942	-1.1794	0.9051	0.5117	2.8583999	2.6335444	2.31855	-0.17355001	0.2454	-2.1325	1.3603	1.5892	-1.05485	3.48035	1.645306	-0.91288126	0.6745	2.3834	-3.5752	-0.3191924	4.3497	-0.2339322	0.9386903	0.9858	-0.8962	-1.0242	3.9641	4.1777	6.63245	2.2697499	-0.7217	4.5555	0.1245	4.3922	-4.2284	1.5661	2.1845	0.7852	0.592	3.32765	2.16295	2.5527499	0.24326345	0.2831	0.23475	2.12375	1.4777501	1.3726001	0.061542153	-0.9622118	0.7630514	1.8639	1.2588	1.1335	0.2595
GCNT1	-1.7225456	0.3485	0.2513	1.8690084	-1.1691883	-1.3781679	-2.2898	1.9302	1.15595	-1.4321016	0.4695	1.7233	3.142	2.05365	-0.9166092	1.7843001	0.32630002	-0.2714	0.8233	-0.06605002	0.4448	1.1034	-3.01115	1.7575887	-1.4753201	0.5681	2.2489	1.2031	2.3645663	-3.9053998	-1.6574996	-0.2651882	2.1542	0.5395	-0.0672	4.1103	2.1731	-0.072399974	1.3567	1.692	-0.96	1.5236	-0.28544998	-0.9969	-0.29040003	1.66905	0.4066	1.7211	1.13925	-1.06585	0.1728	2.3654594	-0.19169998	0.57060003	0.57514995	1.2558999	1.05755	0.55161524	-0.18664071	0.47192138	2.8968	5.5532	-0.676	-1.5653
UBE2I	-4.6456766	-5.7149	-3.519	-1.8375319	-1.847085	-5.609812	-2.9824	-4.1665	-2.1174002	-0.6895616	-0.2267	-1.1204	-3.3629	-2.40375	-0.41942284	-2.08935	-0.87235	0.4077	-2.8372	-2.8027	-0.4579	-0.41884997	-5.80195	0.64523584	-1.3261532	-0.7895	1.7789	-3.3271	-1.7275064	-3.87095	-1.7437905	-0.2719688	1.1727	1.0513	0.3716	2.5828	-1.4561	-0.5477	1.9935	-4.7544	5.5711	-0.1749	-0.70725	-2.0115	-1.6985	-1.13095	-0.6815	-2.5765	-0.06005001	3.32685	-1.27275	-1.8182831	-3.13955	-1.94985	-3.0058	-3.2015	-1.9987	-1.8059589	-2.4055233	-2.532103	-4.2508	-5.7351	-3.1769	-1.5113
ADORA3	5.087342	1.4374	-0.7362	3.2881944	2.1173377	0.98528564	2.0522	6.8715	4.82445	-1.302104	-1.6262	2.1372	3.7018	5.2556	5.755782	2.6675	3.99425	0.6266	1.4783	-1.6144999	2.2566	1.84055	1.63635	4.8076715	0.3303815	0.7002	2.1221	-0.631	-0.093956426	3.3546	-0.45562464	1.5986801	0.9886	-1.0214	0.3381	0.6705	1.0288	2.7515502	3.20675	1.0083	2.8285	2.0765	-1.7969501	-0.0244	-2.4965	0.605	-1.0854	5.6512	3.2706	4.14435	4.11395	3.1863008	1.13075	0.3465	1.16875	1.917	1.5953	1.5858136	1.9482577	1.572507	-0.1135	0.4259	3.9004	-0.5462
ATP6V0B	0.86185396	3.2062	3.7936	0.6565913	2.952683	2.15977	-3.0822	6.9655	-1.2921002	1.0610977	1.1741	-3.8865	1.8006	-1.7135999	-6.2758846	0.11994994	-0.013849974	3.4082	1.7055	-2.03705	-4.0345	3.2356	7.5668	-0.3846749	2.8705	4.2551	2.8706	0.9319	1.9728215	2.11005	0.7936527	-3.8563137	-2.8296	1.9145	1.6031	3.3216	0.344	0.24785	5.29395	-0.8857	3.5102	-0.3417	-2.1122	4.3804	0.2617	-1.55765	-0.366	-1.3837	-2.30895	-7.2179	-0.6077	-0.18292548	-2.1278	-2.6573	-3.6488	-10.0	-1.08035	-2.1580348	-1.9589164	0.42598972	3.9133	-6.2636	-4.3291	0.6168
IKBKE	1.3517735	3.1989	10.0	6.81514	0.26945904	1.839004	5.0386	10.0	6.12705	1.8101482	0.9799	6.8047	3.6191	5.31275	3.6206095	1.1158	3.60605	0.6745	-0.3597	3.4289498	1.5186	2.9491	-0.54185	6.6002016	1.8520997	-1.2477	4.4597	1.8016	4.807587	4.6662498	0.48424226	7.3597302	1.784	-0.1109	1.0846	9.3492	9.9287	7.2002	2.8140998	0.6031	2.6558	0.839	1.3975	0.7648	-1.07455	5.7304497	0.4318	2.5115	4.60815	8.90745	4.16695	5.008817	5.577	7.7257	4.55895	10.0	10.0	7.9222007	7.097799	10.0	-0.1806	10.0	-0.0203	-0.3873
EBP	-2.2638497	-1.5251	-4.1744	-0.54776824	-1.9729484	-1.818288	-5.7101	4.8479	-4.4719	0.069717266	0.4031	-2.0378	0.334	-3.8267	-2.5125985	0.20835003	-1.22065	0.3512	1.4306	-4.4652	-0.4846	1.51115	-0.33945003	0.6415031	-0.07919394	2.3088	1.441	-2.8317	2.1347811	-3.2742	0.84540147	0.7178546	-0.8869	4.1917	0.2254	2.6012	0.6247	-4.7919497	-6.1604	-0.4971	1.8726	-3.2488	0.32955	0.0411	0.43605	-1.3179	-5.5689	-3.3775	-1.2681501	-1.56095	-0.84819996	0.01801838	0.5706	0.61565	2.5592499	-0.59785	2.4148	3.5694332	3.5368273	4.2285886	4.2707	1.2172	0.4174	-1.79
EFNA5	1.580212	2.5421	0.4063	0.65657103	-0.764659	-1.4130063	-1.9584	2.0812	3.4584	-2.3228102	-0.7237	1.112	-1.5902	-1.68065	-0.046810452	-2.3952	1.9501	1.8969	-0.9257	-1.4691999	-0.4113	0.28485	0.086950004	1.2040744	-0.24579333	-1.3418	2.4752	1.5067	-2.2368999	1.4071	0.73715067	2.6888971	2.1894	-1.8426	3.7227	6.1333	-0.3409	4.27715	1.6018	1.4539	0.557	-0.4131	-1.2479	1.2832	-0.8452	-0.41715002	-0.5707	2.4122	1.7899001	3.1734	2.3417	-1.209436	-1.8471999	-2.60325	-2.76755	-1.00605	-1.18435	-2.2807655	-0.41021708	-0.5622484	-0.8878	2.1296	-1.256	0.5309
FSTL3	-0.4833146	-1.0787	-2.1656	0.3371331	0.84701276	-1.7949969	0.6812	0.677	-0.17830002	-0.18713918	-2.0042	0.653	-0.4526	0.5144	-1.2453899	0.91995	-0.55575	-2.5291	-1.1768	-1.5281501	-1.4623	0.25939998	-1.9763501	0.6424986	-1.3221978	1.1843	-0.7513	3.3744	0.34159514	-2.04455	-3.0864544	-4.0595555	0.0091	1.23	-2.8649	1.7377	1.3443	-1.05465	1.73015	1.73	-0.6918	-1.7449	5.03115	4.3347	5.3662996	1.4366	1.391	-0.1496	2.1817	0.79115	0.85885	-0.3750409	2.5865998	2.5008	2.33175	2.44275	2.155	1.7687006	3.2378898	2.1779263	-2.2858	-0.4271	-1.7763	-0.6672
CES1	5.6205645	3.0483	3.773	2.0180247	2.944892	3.3688264	5.1428	5.9288	4.862	-0.24555004	0.2465	-1.0812	10.0	10.0	2.2782447	2.3104	0.77455	0.0	1.1343	2.0348	-1.2466	3.4565	2.3889	5.925632	0.5589817	0.7565	-2.6636	-0.2794	3.3228805	1.3405	1.0679278	7.0811934	0.8495	1.4062	-2.0983	-1.5672	-2.2183	0.0	10.0	10.0	8.2738	0.5465	3.8086	7.2895	4.3063498	7.35175	1.175	9.9056	-1.0998	2.37145	0.77545	0.11419898	1.4918499	0.84215	2.6680999	1.82215	3.0563998	3.8201423	2.0436196	2.221445	10.0	2.3387	3.4886	0.1118
GALT	-0.008507207	-0.173	3.5731	1.9485027	0.12431484	3.3185053	0.62	0.9593	4.6276	-1.323601	0.3555	-2.2835	2.9199	3.95595	4.884324	3.03405	2.0061998	-0.1563	3.3084	0.82089996	-2.7536	2.67085	0.9962	2.6016276	2.0553474	0.3811	1.5433	4.4546	-1.2972045	1.75365	3.1893764	-0.13571522	0.8943	-2.6745	0.1055	1.6459	4.8584	2.93225	0.6756	0.8383	1.663	5.4446	0.69060004	0.9702	-0.00835	2.36875	-0.0313	-1.6801	-2.10915	1.4147	2.3123	0.7839241	2.2646499	0.699	-0.651	-0.90035	-1.15695	0.36714244	0.26775393	1.5531129	1.8366	-0.7391	2.4756	0.2095
TGFBR1	3.0077708	1.9918	0.7963	2.2825708	-0.37204987	0.41517574	2.4358	4.3725	4.37865	1.5775408	-0.6663	2.6738	5.4403	4.42775	3.0655153	4.0376	5.01065	-1.4013	0.6373	1.7409999	-1.109	3.0524502	0.055099994	7.314027	-0.6287263	-1.2139	5.8767	-1.5978	0.34258676	3.10895	-1.0295181	2.2875571	0.6803	-0.0021	-1.0625	7.1639	1.5285	1.8524001	4.20775	3.5793	6.9887	2.421	5.93445	3.1119	6.0657	7.5536003	1.0301	3.4548	3.6482	5.56285	2.9889002	1.3194119	1.8501999	2.19095	2.31275	0.70379996	4.2773	-1.2535576	-1.2682129	-1.0901129	5.3338	3.1378	3.5497	-0.3622
TRIM44	0.8608339	-1.5811	-1.2392	-2.0718083	-1.3882958	-1.5679433	-0.5026	-3.6204	5.0051003	5.208334	-0.4797	-1.0874	3.3559	-0.6249	0.13524552	-1.59945	-4.2393	-0.5729	-0.0209	-0.935	-0.2811	2.1051	-2.6297998	-0.5156673	-1.0565455	-0.906	1.2408	-8.3077	-1.9420471	-1.43505	-1.8768365	-2.3725417	-0.9292	-0.5268	0.7744	-1.2402	-0.7467	-2.3757498	-0.36905	0.4531	-0.6653	-0.9162	-2.8149002	-4.1647	-1.2604	1.7365501	-0.9612	-1.5177	-0.8981501	-2.6183	0.66955006	-0.45201284	-0.9824	-2.13565	-4.66475	-3.0233	-4.21145	-0.133727	0.3750002	0.23306617	-1.3572	-3.7224	-0.0729	-0.2681
TES	-1.2350017	2.9925	2.5659	-6.4853425	2.1167114	1.4214485	2.638	2.502	0.43895	0.4494362	-1.9877	1.4814	-10.0	-10.0	-9.306563	-5.18205	-0.15924999	-1.9774	2.6333	1.43365	-2.9406	1.1501	1.2839	-8.026762	0.7746278	-0.1871	-10.0	0.0088	-0.003928244	3.1502	1.4219775	-0.52144766	-10.0	-10.0	-0.3533	-1.5925	-3.9619	0.14735	-4.22565	-0.7167	-0.6105	-9.2898	-2.6391	-3.0946	-1.8081499	-9.19125	-2.9659	-0.2012	1.007	-5.1399503	-8.04265	-2.2886508	3.1385498	3.24175	4.13645	3.5101	4.4834003	1.3897072	2.1048503	0.35328934	-4.5528	-2.3891	1.5854	0.2459
FLRT2	3.759181	2.9253	2.9697	1.0062805	-2.4316604	2.1469867	4.3765	-0.9685	2.1666002	1.992734	-1.0192	2.1565	4.2577	2.6608	2.7333543	4.3198	0.6583	-0.3971	0.7787	3.55085	-0.7718	3.00065	3.3378	2.8089385	2.2633922	0.7274	1.0615	7.1283	6.221998	1.2608	1.3741323	1.325841	1.3473	0.503	0.0405	3.3432	5.036	3.64185	5.37	-0.7918	5.3357	-1.5743	2.58555	5.9029	4.9808	5.6089	-0.608	1.6948	1.3947	3.29255	4.0285	3.9746275	2.8409	1.68545	0.76915	1.46285	-0.079950005	0.9667279	0.8990935	1.1771468	6.4532	-1.4549	1.8214	0.8259
RECK	0.3466292	3.3968	4.5118	0.42215657	0.18022043	3.74735	1.001	2.3659	2.18065	0.16343546	-0.1512	-2.7739	4.1061	1.2948	4.6047044	2.41035	1.13185	0.1884	3.0038	3.71015	1.8791	3.9127498	3.53085	3.5726404	0.8452748	-3.4586	2.7399	-6.3482	1.257949	4.5099497	1.2341784	1.765213	0.8011	-2.5448	-0.0345	0.8078	-0.8386	2.3249002	1.7642	2.6125	5.5553	0.4676	0.9267	0.201	1.3735001	1.063	1.6137	1.7995	0.025299966	5.80305	3.1325	2.2694926	1.68785	-0.8517	-0.37060001	0.351	2.5606	-2.3105469	-2.182195	-1.7150955	-7.6635	3.9384	1.4263	-0.1029
ARHGEF6	-0.3384516	-3.2851	0.2811	0.3908589	1.2830385	-2.0880256	1.5269	1.3638	1.6563	-0.39437565	-1.5413	2.7353	2.3985	4.8444	1.7872838	-0.76065004	1.3185	1.4786	-1.0374	2.2894	0.9121	-0.5308	-0.26770002	2.3756037	-0.6029424	-0.0203	7.0184	-2.0205	0.7990399	-1.8313999	-1.9777308	1.7449129	-0.1774	0.6121	-2.9617	0.6317	0.9623	-0.85644996	1.5610499	-0.3084	3.9014	2.0649	1.6754999	6.3383	-0.03275001	1.83075	0.5932	1.337	3.3553002	2.5052	2.2036	1.1073998	-1.4164	-0.34675002	0.236	-0.12775	0.56785	0.12553775	-0.47545892	-1.4162632	0.712	2.7714	-0.0046	-1.2432
ATP8B4	2.1097963	1.9652	1.7114	3.231933	1.1631198	1.9429226	-0.6813	2.7036	2.8537998	-1.5607839	0.0061	1.3314	4.013	3.0254998	0.028263798	2.893	2.5407	-2.7826	2.152	-1.0076499	1.3504	1.0975499	2.1651	1.2172453	0.27240735	0.9621	2.7707	-4.1228	0.783791	0.046800017	-0.07076591	-0.37647736	-1.0173	-1.5241	0.2545	3.9262	4.1912	0.65475	3.34755	0.0407	0.7835	2.6999	3.5997	1.191	0.9754	3.0332499	1.0397	1.206	1.94435	5.2685	4.24785	1.2777424	1.04915	0.98735	3.2407498	4.2635	3.8127	3.36263	1.8328354	3.0638568	-0.819	6.3177	2.4279	1.0192
